id;nama;kategori
1;Bawang Bombay;Bumbu
2;Bawang Merah;Bumbu
3;Bawang Putih;Bumbu
4;Cabai Hijau;Bumbu
5;Cabai Merah;Bumbu
6;Daun Bawang;Bumbu
7;Daun Salam;Bumbu
8;Garam;Bumbu
9;Gula;Bumbu
10;Kaldu Bubuk;Bumbu
11;Kecap Asin;Bumbu
12;Kecap Manis;Bumbu
13;Lada Hitam;Bumbu
14;Mentega;Bumbu
15;Minyak;Bumbu
16;Saus Tiram;Bumbu
17;Tomat;Bumbu
18;Mie;Karbohidrat
19;Nasi;Karbohidrat
20;Spaghetti;Karbohidrat
21;Lemon;Lainnya
22;Santan;Lainnya
23;Ati Ampela;Protein Hewan
24;Ayam;Protein Hewan
25;Cumi Cumi;Protein Hewan
26;Daging Sapi;Protein Hewan
27;Kikil;Protein Hewan
28;Salmon;Protein Hewan
29;Telur;Protein Hewan
30;Udang;Protein Hewan
31;Usus;Protein Hewan
32;Kacang Polong;Protein Nabati
33;Tahu;Protein Nabati
34;Tempe;Protein Nabati
35;Jahe;Rempah
36;Kemiri;Rempah
37;Kencur;Rempah
38;Kunyit;Rempah
39;Lengkuas;Rempah
40;Serai;Rempah
41;Bayam;Sayur
42;Brokoli;Sayur
43;Jagung;Sayur
44;Jamur;Sayur
45;Kembang Kol;Sayur
46;Kentang;Sayur
47;Labu Siam;Sayur
48;Sawi;Sayur
49;Terong;Sayur
50;Timun;Sayur
51;Wortel;Sayur
