id_resep,nama_resep,bahan_utama,bahan_lengkap
1,Nasi Goreng,"Nasi, Telur, Bawang Putih, Bawang Merah, Kecap Manis, Garam, Minyak","2 piring Nasi, 2 butir Telur, 4 siung Bawang Putih (cincang), 3 buah Bawang Merah (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
2,Mie Goreng,"Mie, Telur, Bawang Putih, Daun Bawang, Kecap Manis, Garam, Minyak","1 bungkus Mie (rebus tiriskan), 2 butir Telur, 4 siung Bawang Putih (cincang), 1 batang Daun Bawang (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
3,Ayam Goreng,"Ayam, Bawang Putih, Kemiri, Kunyit, Garam, Minyak","500g Ayam (potong 8), 4 siung Bawang Putih, 3 butir Kemiri, 1 sdt Kunyit bubuk, 1 sdt Garam, Minyak secukupnya untuk menggoreng"
4,Tempe Goreng,"Tempe, Bawang Putih, Kunyit, Garam, Minyak","1 papan Tempe (iris tipis), 2 siung Bawang Putih (haluskan), 0.5 sdt Kunyit bubuk, 1 sdt Garam, Minyak secukupnya"
5,Tahu Goreng,"Tahu, Bawang Putih, Kunyit, Garam, Minyak","4 buah Tahu putih (potong dadu), 2 siung Bawang Putih (haluskan), 0.5 sdt Kunyit bubuk, 1 sdt Garam, Minyak secukupnya"
6,Telur Dadar,"Telur, Bawang Merah, Daun Bawang, Garam, Minyak","3 butir Telur, 2 buah Bawang Merah (iris tipis), 1 batang Daun Bawang (iris), 1 sdt Garam, 2 sdm Minyak"
7,Telur Balado,"Telur, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Garam, Minyak","4 butir Telur (rebus kupas), 5 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdt Garam, 2 sdm Minyak"
8,Tumis Bayam,"Bayam, Bawang Putih, Bawang Merah, Garam, Minyak","2 ikat Bayam (petik daunnya), 3 siung Bawang Putih (iris), 3 buah Bawang Merah (iris), 1 sdt Garam, 2 sdm Minyak"
9,Tumis Tempe Kecap,"Tempe, Kecap Manis, Bawang Putih, Cabai Merah, Garam, Minyak","1 papan Tempe (potong dadu), 2 sdm Kecap Manis, 4 siung Bawang Putih (iris), 3 buah Cabai Merah (iris serong), 1 sdt Garam, 2 sdm Minyak"
10,Tumis Tahu Telur,"Tahu, Telur, Bawang Putih, Daun Bawang, Kecap Asin, Garam, Minyak","4 buah Tahu (potong dadu), 2 butir Telur (kocok lepas), 3 siung Bawang Putih (cincang), 1 batang Daun Bawang (iris), 1 sdm Kecap Asin, 1 sdt Garam, 2 sdm Minyak"
11,Sayur Sop,"Wortel, Kentang, Jagung, Bawang Putih, Bawang Merah, Daun Bawang, Kaldu Bubuk, Garam","2 buah Wortel (potong bulat), 2 buah Kentang (potong dadu), 1 buah Jagung (potong ruas), 3 siung Bawang Putih (cincang), 3 buah Bawang Merah (iris), 1 batang Daun Bawang (iris), 1 sdt Kaldu Bubuk, 1 sdt Garam"
12,Soto Ayam,"Ayam, Bawang Putih, Bawang Merah, Kunyit, Jahe, Serai, Daun Bawang, Kaldu Bubuk, Garam","500g Ayam, 4 siung Bawang Putih, 5 buah Bawang Merah, 1 sdt Kunyit bubuk, 2 cm Jahe (geprek), 1 batang Serai (geprek), 1 batang Daun Bawang (iris), 1 sdt Kaldu Bubuk, 1 sdt Garam"
13,Opor Ayam,"Ayam, Santan, Bawang Putih, Bawang Merah, Kemiri, Serai, Lengkuas, Daun Salam, Kunyit, Garam","1 ekor Ayam (potong 8), 500ml Santan, 4 siung Bawang Putih, 6 buah Bawang Merah, 4 butir Kemiri, 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Kunyit bubuk, 1 sdt Garam"
14,Rendang Daging,"Daging Sapi, Santan, Bawang Merah, Bawang Putih, Cabai Merah, Serai, Lengkuas, Jahe, Kunyit, Garam","1kg Daging Sapi (potong kotak), 1 liter Santan, 8 buah Bawang Merah, 5 siung Bawang Putih, 10 buah Cabai Merah, 2 batang Serai (geprek), 3 cm Lengkuas (geprek), 3 cm Jahe, 1 sdt Kunyit bubuk, 1.5 sdt Garam"
15,Semur Daging,"Daging Sapi, Bawang Bombay, Bawang Putih, Kecap Manis, Tomat, Gula, Garam, Minyak","500g Daging Sapi (potong kotak), 1 buah Bawang Bombay (iris), 4 siung Bawang Putih (cincang), 3 sdm Kecap Manis, 1 buah Tomat (potong), 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
16,Udang Balado,"Udang, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Garam, Minyak","300g Udang (kupas bersihkan), 6 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdt Garam, 2 sdm Minyak"
17,Capcay,"Brokoli, Wortel, Kembang Kol, Jamur, Bawang Bombay, Bawang Putih, Saus Tiram, Kecap Asin, Kaldu Bubuk, Minyak","100g Brokoli (potong kuntum), 1 buah Wortel (iris serong), 100g Kembang Kol (potong kuntum), 100g Jamur (iris), 1 buah Bawang Bombay (iris), 4 siung Bawang Putih (cincang), 2 sdm Saus Tiram, 1 sdm Kecap Asin, 1 sdt Kaldu Bubuk, 2 sdm Minyak"
18,Perkedel Kentang,"Kentang, Telur, Daun Bawang, Bawang Putih, Garam, Minyak","4 buah Kentang (kukus haluskan), 1 butir Telur, 1 batang Daun Bawang (iris halus), 2 siung Bawang Putih (haluskan), 1 sdt Garam, Minyak secukupnya"
19,Orek Tempe,"Tempe, Bawang Merah, Bawang Putih, Cabai Merah, Kecap Manis, Gula, Garam, Minyak","1 papan Tempe (potong korek api), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 3 buah Cabai Merah (iris serong), 2 sdm Kecap Manis, 1 sdt Gula, 1 sdt Garam, 3 sdm Minyak"
20,Terong Balado,"Terong, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Garam, Minyak","2 buah Terong (potong bulat), 5 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdt Garam, 3 sdm Minyak"
21,Ayam Kecap,"Ayam, Kecap Manis, Bawang Putih, Bawang Merah, Jahe, Gula, Garam, Minyak","500g Ayam (potong 8), 3 sdm Kecap Manis, 4 siung Bawang Putih (cincang), 4 buah Bawang Merah (iris), 2 cm Jahe (geprek), 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
22,Ayam Geprek,"Ayam, Cabai Merah, Bawang Putih, Garam, Minyak","2 potong Ayam (goreng), 8 buah Cabai Merah, 4 siung Bawang Putih, 1 sdt Garam, Minyak secukupnya"
23,Ayam Bakar,"Ayam, Kecap Manis, Bawang Putih, Bawang Merah, Kemiri, Kunyit, Lengkuas, Garam, Minyak","1 ekor Ayam (potong 8), 3 sdm Kecap Manis, 4 siung Bawang Putih, 5 buah Bawang Merah, 3 butir Kemiri, 1 sdt Kunyit bubuk, 2 cm Lengkuas (geprek), 1 sdt Garam, 2 sdm Minyak"
24,Gulai Ayam,"Ayam, Santan, Bawang Merah, Bawang Putih, Kemiri, Kunyit, Serai, Lengkuas, Jahe, Garam","1 ekor Ayam (potong 8), 500ml Santan, 6 buah Bawang Merah, 4 siung Bawang Putih, 4 butir Kemiri, 1 sdt Kunyit bubuk, 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 2 cm Jahe, 1 sdt Garam"
25,Soto Daging,"Daging Sapi, Bawang Putih, Bawang Merah, Kunyit, Jahe, Serai, Daun Bawang, Kaldu Bubuk, Garam","400g Daging Sapi, 4 siung Bawang Putih, 5 buah Bawang Merah, 1 sdt Kunyit bubuk, 2 cm Jahe (geprek), 1 batang Serai (geprek), 1 batang Daun Bawang (iris), 1 sdt Kaldu Bubuk, 1 sdt Garam"
26,Lodeh Labu Siam,"Labu Siam, Santan, Bawang Merah, Bawang Putih, Lengkuas, Daun Salam, Cabai Hijau, Garam","2 buah Labu Siam (kupas potong kotak), 400ml Santan, 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 3 buah Cabai Hijau (iris serong), 1 sdt Garam"
27,Lodeh Tempe Tahu,"Tempe, Tahu, Santan, Bawang Merah, Bawang Putih, Lengkuas, Daun Salam, Garam","1 papan Tempe (potong kotak), 4 buah Tahu (potong kotak), 400ml Santan, 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Garam"
28,Sayur Bening Bayam,"Bayam, Jagung, Bawang Merah, Garam","2 ikat Bayam (petik), 1 buah Jagung (potong ruas), 3 buah Bawang Merah (iris tipis), 1 sdt Garam"
29,Tumis Sawi Putih,"Sawi, Bawang Putih, Bawang Merah, Cabai Merah, Saus Tiram, Garam, Minyak","1 ikat Sawi (potong-potong), 3 siung Bawang Putih (iris), 3 buah Bawang Merah (iris), 2 buah Cabai Merah (iris serong), 1 sdm Saus Tiram, 1 sdt Garam, 2 sdm Minyak"
30,Tumis Brokoli Saus Tiram,"Brokoli, Bawang Putih, Bawang Bombay, Saus Tiram, Kecap Asin, Minyak","1 buah Brokoli (potong kuntum), 4 siung Bawang Putih (cincang), 1 buah Bawang Bombay (iris), 2 sdm Saus Tiram, 1 sdm Kecap Asin, 2 sdm Minyak"
31,Tumis Wortel Telur,"Wortel, Telur, Bawang Putih, Daun Bawang, Garam, Minyak","2 buah Wortel (iris korek api), 2 butir Telur (kocok lepas), 3 siung Bawang Putih (cincang), 1 batang Daun Bawang (iris), 1 sdt Garam, 2 sdm Minyak"
32,Tumis Kembang Tahu Jamur,"Jamur, Tahu, Bawang Putih, Saus Tiram, Kecap Asin, Daun Bawang, Minyak","200g Jamur (iris), 4 buah Tahu (potong dadu), 4 siung Bawang Putih (cincang), 2 sdm Saus Tiram, 1 sdm Kecap Asin, 1 batang Daun Bawang (iris), 2 sdm Minyak"
33,Ati Ampela Balado,"Ati Ampela, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Garam, Minyak","300g Ati Ampela (rebus potong), 6 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdt Garam, 2 sdm Minyak"
